Country,ISO2,ISO3,Indicator,Source,CTS Code,CTS Name,CTS Full Descriptor,Unit,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Vietnam,VN,VNM,Implicit Fossil Fuel Subsidies - Accidents,"Parry, Ian; Black, Simon; Vernon, Nate. September 2021. Still Not Getting Energy Prices Right: A Global and Country Update of Fossil Fuel Subsidies. International Monetary Fund. ISBN: 9781513595405/1018-5941; IMF staff estimations.",ECGFTIA,Implicit; Accidents,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Implicit, Accidents",Percent of GDP,2.028790760023,2.38155461201313,2.58279572465586,2.76110994417846,2.89860373589855,2.94326878719875,3.09761897139316,3.12050096769769,3.12512870140652,3.18971995222261,3.26752486774936,3.34702473409761,3.45245615460915,3.56040724793933,3.66891620038362,3.7800171110517
Vietnam,VN,VNM,Implicit Fossil Fuel Subsidies - Accidents,"Parry, Ian; Black, Simon; Vernon, Nate. September 2021. Still Not Getting Energy Prices Right: A Global and Country Update of Fossil Fuel Subsidies. International Monetary Fund. ISBN: 9781513595405/1018-5941; IMF staff estimations.",ECGFTIA,Implicit; Accidents,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Implicit, Accidents",USD at constant 2021 prices,5431795319.0,6722272608.0,7861730814.0,8979264993.0,10100387620.0,10557946630.0,11397812910.0,12285974000.0,13062506700.0,14206980770.0,15528389130.0,16977280910.0,18691286900.0,20573706470.0,22628297490.0,24883399040.0
Vietnam,VN,VNM,Implicit Fossil Fuel Subsidies - Coal,"Parry, Ian; Black, Simon; Vernon, Nate. September 2021. Still Not Getting Energy Prices Right: A Global and Country Update of Fossil Fuel Subsidies. International Monetary Fund. ISBN: 9781513595405/1018-5941; IMF staff estimations.",ECGFTIC,Implicit; Coal,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Implicit, Coal",Percent of GDP,2.79642257830536,3.10785479842245,3.05850649523254,4.09685968827104,5.07760926886244,5.09454772730441,4.927263084516,4.70758857608745,4.97922220999419,5.03758216340854,5.35434441559316,5.48067605350577,5.55192892936898,5.61843967520814,5.69109619185514,5.76926367942299
Vietnam,VN,VNM,Implicit Fossil Fuel Subsidies - Coal,"Parry, Ian; Black, Simon; Vernon, Nate. September 2021. Still Not Getting Energy Prices Right: A Global and Country Update of Fossil Fuel Subsidies. International Monetary Fund. ISBN: 9781513595405/1018-5941; IMF staff estimations.",ECGFTIC,Implicit; Coal,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Implicit, Coal",USD at constant 2021 prices,7487019051.0,8772356962.0,9309739260.0,13323188690.0,17693284930.0,18274906880.0,18130061610.0,18534623590.0,20812302370.0,22437340580.0,25445665140.0,27799907180.0,30057643550.0,32465985110.0,35100234140.0,37978370490.0
Vietnam,VN,VNM,Implicit Fossil Fuel Subsidies - Congestion,"Parry, Ian; Black, Simon; Vernon, Nate. September 2021. Still Not Getting Energy Prices Right: A Global and Country Update of Fossil Fuel Subsidies. International Monetary Fund. ISBN: 9781513595405/1018-5941; IMF staff estimations.",ECGFTIG,Implicit; Congestion,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Implicit, Congestion",Percent of GDP,0.382046931529935,0.448476821550085,0.486373065539431,0.519951885977976,0.545843704388203,0.501197327404764,0.500551534974481,0.512442854022422,0.486114664711244,0.47777677026666,0.46951724076981,0.460567960018532,0.45171698975417,0.442941527947709,0.434031548405612,0.425273472097319
Vietnam,VN,VNM,Implicit Fossil Fuel Subsidies - Congestion,"Parry, Ian; Black, Simon; Vernon, Nate. September 2021. Still Not Getting Energy Prices Right: A Global and Country Update of Fossil Fuel Subsidies. International Monetary Fund. ISBN: 9781513595405/1018-5941; IMF staff estimations.",ECGFTIG,Implicit; Congestion,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Implicit, Congestion",USD at constant 2021 prices,1022875683.0,1265888860.0,1480463236.0,1690909041.0,1902030597.0,1797869993.0,1841799395.0,2017579756.0,2031876659.0,2128012957.0,2231305564.0,2336161892.0,2445555128.0,2559524331.0,2676919957.0,2799524234.0
Vietnam,VN,VNM,Implicit Fossil Fuel Subsidies - Electricity,"Parry, Ian; Black, Simon; Vernon, Nate. September 2021. Still Not Getting Energy Prices Right: A Global and Country Update of Fossil Fuel Subsidies. International Monetary Fund. ISBN: 9781513595405/1018-5941; IMF staff estimations.",ECGFTIT,Implicit; Electricity,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Implicit, Electricity",Percent of GDP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vietnam,VN,VNM,Implicit Fossil Fuel Subsidies - Electricity,"Parry, Ian; Black, Simon; Vernon, Nate. September 2021. Still Not Getting Energy Prices Right: A Global and Country Update of Fossil Fuel Subsidies. International Monetary Fund. ISBN: 9781513595405/1018-5941; IMF staff estimations.",ECGFTIT,Implicit; Electricity,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Implicit, Electricity",USD at constant 2021 prices,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vietnam,VN,VNM,Implicit Fossil Fuel Subsidies - Foregone VAT,"Parry, Ian; Black, Simon; Vernon, Nate. September 2021. Still Not Getting Energy Prices Right: A Global and Country Update of Fossil Fuel Subsidies. International Monetary Fund. ISBN: 9781513595405/1018-5941; IMF staff estimations.",ECGFTIF,Implicit; Foregone Vat,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Implicit, Foregone Vat",Percent of GDP,0.294866286485064,0.338533364615862,0.37386687316336,0.405354773402683,0.432846339146581,0.4029781656747,0.435878786206972,0.48984937442535,0.465364738518074,0.461002751914575,0.467798433192911,0.474480600510611,0.483554705379292,0.492823176031025,0.502388476660986,0.512058560690761
Vietnam,VN,VNM,Implicit Fossil Fuel Subsidies - Foregone VAT,"Parry, Ian; Black, Simon; Vernon, Nate. September 2021. Still Not Getting Energy Prices Right: A Global and Country Update of Fossil Fuel Subsidies. International Monetary Fund. ISBN: 9781513595405/1018-5941; IMF staff estimations.",ECGFTIF,Implicit; Foregone Vat,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Implicit, Foregone Vat",USD at constant 2021 prices,789462051.1,955558000.8,1138007427.0,1318233609.0,1508283368.0,1445543127.0,1603833429.0,1928625160.0,1945145495.0,2053301647.0,2223137206.0,2406731674.0,2617921655.0,2847763938.0,3098516097.0,3370820058.0
Vietnam,VN,VNM,Implicit Fossil Fuel Subsidies - Global Warming,"Parry, Ian; Black, Simon; Vernon, Nate. September 2021. Still Not Getting Energy Prices Right: A Global and Country Update of Fossil Fuel Subsidies. International Monetary Fund. ISBN: 9781513595405/1018-5941; IMF staff estimations.",ECGFTIW,Implicit; Global Warming,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Implicit, Global Warming",Percent of GDP,2.94168904803448,3.33005625517931,3.28342968046461,3.99844974601856,4.63313563796968,4.58559313940036,4.44924185360127,4.22988377214148,4.38466974494178,4.40678246022106,4.61882801525143,4.69433670192317,4.72503213758633,4.73817426585238,4.73840348305735,4.73646112036069
Vietnam,VN,VNM,Implicit Fossil Fuel Subsidies - Global Warming,"Parry, Ian; Black, Simon; Vernon, Nate. September 2021. Still Not Getting Energy Prices Right: A Global and Country Update of Fossil Fuel Subsidies. International Monetary Fund. ISBN: 9781513595405/1018-5941; IMF staff estimations.",ECGFTIW,Implicit; Global Warming,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Implicit, Global Warming",USD at constant 2021 prices,7875949120.0,9399551803.0,9994379365.0,13003154730.0,16144485450.0,16449210430.0,16371163370.0,16653813790.0,18327174140.0,19627765010.0,21950241130.0,23811318770.0,25580898740.0,27379397850.0,29224435170.0,31179555180.0
