Country,ISO2,ISO3,Indicator,Unit,Source,CTS Code,CTS Name,CTS Full Descriptor,Industry,Scale,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Vietnam,VN,VNM,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o); Access Date: 04-03-2022",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions",Other non-metallic mineral products,Units,0.212,0.217,0.257,0.312,0.365,0.406,0.424,0.472,0.464,0.592,0.481,0.38,0.323,0.334,0.483,19.25,20.195,19.528,20.976,23.175,28.493,13.794,20.074,27.353
Vietnam,VN,VNM,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o); Access Date: 04-03-2022",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions",Other service activities,Units,0.098,0.116,0.117,0.129,0.135,0.147,0.135,0.157,0.169,0.206,0.212,0.208,0.214,0.227,0.22,0.188,0.149,0.107,0.108,0.11,0.145,0.082,0.079,0.082
Vietnam,VN,VNM,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o); Access Date: 04-03-2022",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions",Other transport equipment,Units,0.001,0.001,0.001,0.001,0.001,0.001,0.006,0.02,0.03,0.038,0.041,0.047,0.071,0.053,0.081,0.088,0.082,0.087,0.084,0.094,0.223,0.16,0.191,0.2
Vietnam,VN,VNM,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o); Access Date: 04-03-2022",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions",Paper products and printing,Units,0.032,0.033,0.037,0.049,0.061,0.065,0.076,0.077,0.074,0.102,0.087,0.077,0.089,0.085,0.084,1.559,1.593,1.554,1.644,1.815,2.33,0.753,0.927,2.1
Vietnam,VN,VNM,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o); Access Date: 04-03-2022",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions","Pharmaceuticals, medicinal chemical and botanical products",Units,0.007,0.007,0.008,0.009,0.01,0.011,0.016,0.021,0.024,0.035,0.035,0.035,0.049,0.036,0.037,0.273,0.318,0.391,0.448,0.497,0.599,0.392,0.358,0.496
Vietnam,VN,VNM,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o); Access Date: 04-03-2022",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions",Postal and courier activities,Units,0.014,0.019,0.017,0.02,0.02,0.023,0.04,0.045,0.048,0.06,0.065,0.066,0.082,0.075,0.095,0.127,0.157,0.209,0.21,0.224,0.263,0.238,0.249,0.259
Vietnam,VN,VNM,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o); Access Date: 04-03-2022",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions","Professional, scientific and technical activities",Units,0.168,0.215,0.202,0.226,0.249,0.28,0.239,0.254,0.252,0.29,0.288,0.265,0.289,0.292,0.293,0.297,0.293,0.266,0.314,0.325,0.436,0.245,0.236,0.242
Vietnam,VN,VNM,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o); Access Date: 04-03-2022",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions",Public administration and defence; compulsory social security,Units,0.248,0.32,0.298,0.33,0.344,0.381,0.501,0.547,0.559,0.623,0.606,0.552,0.649,0.436,0.474,0.508,0.512,0.5,0.589,0.6,0.748,0.521,0.526,0.558
Vietnam,VN,VNM,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o); Access Date: 04-03-2022",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions","Publishing, audiovisual and broadcasting activities",Units,0.045,0.055,0.057,0.064,0.063,0.072,0.061,0.063,0.061,0.068,0.067,0.061,0.069,0.06,0.062,0.064,0.065,0.059,0.069,0.072,0.097,0.061,0.06,0.064
Vietnam,VN,VNM,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o); Access Date: 04-03-2022",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions",Real estate activities,Units,0.135,0.18,0.169,0.192,0.201,0.225,0.352,0.393,0.412,0.505,0.525,0.51,0.586,0.552,0.543,0.513,0.436,0.324,0.352,0.369,0.51,0.263,0.252,0.253
Vietnam,VN,VNM,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o); Access Date: 04-03-2022",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions",Rubber and plastics products,Units,4.438,4.698,5.631,5.861,5.89,6.187,5.975,6.669,7.148,8.341,8.789,8.817,9.848,15.214,16.731,3.632,3.637,3.657,3.68,4.093,4.335,0.461,0.665,0.982
