Country,ISO2,ISO3,Indicator,Series,Variable,Model,Scenarios,Unit,Source,CTS Code,CTS Name,CTS Full Descriptor,2020,2025,2030,2035,2040,2045,2050
Vietnam,VN,VNM,Transition Pathways,Primary energy,Biomass,REMIND-MAgPIE,Low Demand,EJ/yr,,,,,0.146,0.1336,0.274,0.3328,0.3171,0.279,0.2527
Vietnam,VN,VNM,Transition Pathways,Primary energy,Biomass,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),EJ/yr,,,,,0.1351,0.1888,0.0945,0.0769,0.0774,0.0869,0.1055
Vietnam,VN,VNM,Transition Pathways,Primary energy,Biomass,REMIND-MAgPIE,Net Zero 2050 (Orderly scenario),EJ/yr,,,,,0.1563,0.1561,0.4079,0.4192,0.3915,0.3622,0.405
Vietnam,VN,VNM,Transition Pathways,Primary energy,Coal,GCAM,Below 2°C,EJ/yr,,,,,1.312,1.3702,0.7232,0.4985,0.4152,0.3407,0.3456
Vietnam,VN,VNM,Transition Pathways,Primary energy,Coal,GCAM,Current Policies (Hot house world scenario),EJ/yr,,,,,1.349,1.6834,1.907,2.3606,3.0975,3.4259,3.6988
Vietnam,VN,VNM,Transition Pathways,Primary energy,Coal,GCAM,Delayed Transition (Disorderly scenario),EJ/yr,,,,,1.3544,1.6936,1.9229,1.3047,0.6063,0.4737,0.3924
Vietnam,VN,VNM,Transition Pathways,Primary energy,Coal,GCAM,Fragmented World,EJ/yr,,,,,1.3314,1.6754,1.9169,2.253,2.6457,2.7053,2.699
Vietnam,VN,VNM,Transition Pathways,Primary energy,Coal,GCAM,Low Demand,EJ/yr,,,,,1.3054,1.4732,0.5646,0.4655,0.3533,0.2866,0.2722
Vietnam,VN,VNM,Transition Pathways,Primary energy,Coal,GCAM,Nationally Determined Contributions (NDCs),EJ/yr,,,,,1.3293,1.5675,1.7357,1.1442,1.2974,1.4711,1.5942
Vietnam,VN,VNM,Transition Pathways,Primary energy,Coal,GCAM,Net Zero 2050 (Orderly scenario),EJ/yr,,,,,1.3095,1.3116,0.5416,0.4427,0.3586,0.2793,0.2133
Vietnam,VN,VNM,Transition Pathways,Primary energy,Coal,MESSAGEix-GLOBIOM,Below 2°C,EJ/yr,,,,,6.0961,4.9059,2.6487,1.6066,0.704,0.4951,0.3577
Vietnam,VN,VNM,Transition Pathways,Primary energy,Coal,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),EJ/yr,,,,,6.119,4.933,5.038,4.5207,4.0241,3.8716,3.7011
Vietnam,VN,VNM,Transition Pathways,Primary energy,Coal,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),EJ/yr,,,,,6.1273,4.9425,5.0509,2.3094,0.7872,0.5593,0.4025
Vietnam,VN,VNM,Transition Pathways,Primary energy,Coal,MESSAGEix-GLOBIOM,Fragmented World,EJ/yr,,,,,6.1037,4.9143,5.0117,3.7197,2.3305,1.2754,0.3909
Vietnam,VN,VNM,Transition Pathways,Primary energy,Coal,MESSAGEix-GLOBIOM,Low Demand,EJ/yr,,,,,6.0804,4.8879,0.9391,0.5384,0.3204,0.2141,0.1475
Vietnam,VN,VNM,Transition Pathways,Primary energy,Coal,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),EJ/yr,,,,,6.0963,4.9065,4.884,3.6311,3.002,1.9752,1.4956
Vietnam,VN,VNM,Transition Pathways,Primary energy,Coal,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),EJ/yr,,,,,6.0831,4.8908,1.293,0.8062,0.5248,0.404,0.1721
Vietnam,VN,VNM,Transition Pathways,Primary energy,Coal,REMIND-MAgPIE,Below 2°C,EJ/yr,,,,,1.6038,1.5948,1.2581,0.439,0.3093,0.1533,0.0876
Vietnam,VN,VNM,Transition Pathways,Primary energy,Coal,REMIND-MAgPIE,Current Policies (Hot house world scenario),EJ/yr,,,,,1.7191,1.717,1.771,1.7135,1.8646,1.8825,1.7601
Vietnam,VN,VNM,Transition Pathways,Primary energy,Coal,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),EJ/yr,,,,,1.7017,1.7292,1.7785,1.6065,0.5642,0.1261,0.0909
Vietnam,VN,VNM,Transition Pathways,Primary energy,Coal,REMIND-MAgPIE,Fragmented World,EJ/yr,,,,,1.6488,1.6299,1.7048,1.4809,1.811,1.9697,2.0007
Vietnam,VN,VNM,Transition Pathways,Primary energy,Coal,REMIND-MAgPIE,Low Demand,EJ/yr,,,,,1.6934,1.7131,0.4657,0.0575,0.0511,0.0432,0.0376
Vietnam,VN,VNM,Transition Pathways,Primary energy,Coal,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),EJ/yr,,,,,1.6297,1.5552,1.4779,0.746,0.6427,0.7121,0.8186
Vietnam,VN,VNM,Transition Pathways,Primary energy,Coal,REMIND-MAgPIE,Net Zero 2050 (Orderly scenario),EJ/yr,,,,,1.6319,1.6107,0.3247,0.0497,0.0446,0.0399,0.0349
