month,year,name,gas,main_sector,total_emissions
1,2021,Hải Dương,n2o,Chất thải,399.86
1,2021,Hải Dương,n2o,Công nghiệp,198.92
1,2021,Hải Dương,n2o,Giao thông,72.9
1,2021,Hải Dương,n2o,Nông nghiệp,823.17
1,2021,Hải Dương,n2o,Năng lượng,206.1
1,2021,Hải Dương,n2o,Đất đai,0.0
1,2021,Lào Cai,ch4,Chất thải,550.37
1,2021,Lào Cai,ch4,Công nghiệp,13.19
1,2021,Lào Cai,ch4,Giao thông,27.82
1,2021,Lào Cai,ch4,Nông nghiệp,485.86
1,2021,Lào Cai,ch4,Năng lượng,1278.15
1,2021,Lào Cai,ch4,Đất đai,0.0
1,2021,Lào Cai,co2,Chất thải,0.58
1,2021,Lào Cai,co2,Công nghiệp,1721.57
1,2021,Lào Cai,co2,Giao thông,1864.88
1,2021,Lào Cai,co2,Nông nghiệp,82.69
1,2021,Lào Cai,co2,Năng lượng,3112.68
1,2021,Lào Cai,co2,Đất đai,432.08
1,2021,Lào Cai,co2e_20yr,Chất thải,572.24
1,2021,Lào Cai,co2e_20yr,Công nghiệp,2300.36
1,2021,Lào Cai,co2e_20yr,Giao thông,1909.11
1,2021,Lào Cai,co2e_20yr,Nông nghiệp,648.56
1,2021,Lào Cai,co2e_20yr,Năng lượng,4494.5
1,2021,Lào Cai,co2e_20yr,Đất đai,432.08
1,2021,Lào Cai,n2o,Chất thải,15.93
1,2021,Lào Cai,n2o,Công nghiệp,9.65
1,2021,Lào Cai,n2o,Giao thông,15.68
1,2021,Lào Cai,n2o,Nông nghiệp,72.82
1,2021,Lào Cai,n2o,Năng lượng,84.05
1,2021,Lào Cai,n2o,Đất đai,0.0
1,2021,Lạng Sơn,ch4,Chất thải,989.23
1,2021,Lạng Sơn,ch4,Công nghiệp,16.42
1,2021,Lạng Sơn,ch4,Giao thông,27.84
1,2021,Lạng Sơn,ch4,Nông nghiệp,1231.24
1,2021,Lạng Sơn,ch4,Năng lượng,1057.38
1,2021,Lạng Sơn,ch4,Đất đai,0.0
1,2021,Lạng Sơn,co2,Chất thải,1.05
1,2021,Lạng Sơn,co2,Công nghiệp,2143.96
1,2021,Lạng Sơn,co2,Giao thông,1783.63
1,2021,Lạng Sơn,co2,Nông nghiệp,24.21
