month,year,name,gas,main_sector,total_emissions
1,2021,Hưng Yên,co2e_20yr,Năng lượng,2266.96
1,2021,Hưng Yên,co2e_20yr,Đất đai,20.22
1,2021,Hưng Yên,n2o,Chất thải,1.12
1,2021,Hưng Yên,n2o,Công nghiệp,44.49
1,2021,Hưng Yên,n2o,Giao thông,19.62
1,2021,Hưng Yên,n2o,Nông nghiệp,18.32
1,2021,Hưng Yên,n2o,Năng lượng,35.01
1,2021,Hưng Yên,n2o,Đất đai,0.0
1,2021,Hải Dương,ch4,Chất thải,6586.34
1,2021,Hải Dương,ch4,Công nghiệp,154.79
1,2021,Hải Dương,ch4,Giao thông,129.88
1,2021,Hải Dương,ch4,Nông nghiệp,13298.93
1,2021,Hải Dương,ch4,Năng lượng,28.59
1,2021,Hải Dương,ch4,Đất đai,0.0
1,2021,Hải Dương,co2,Chất thải,14.63
1,2021,Hải Dương,co2,Công nghiệp,12061.07
1,2021,Hải Dương,co2,Giao thông,8270.75
1,2021,Hải Dương,co2,Nông nghiệp,695.91
1,2021,Hải Dương,co2,Năng lượng,6991.03
1,2021,Hải Dương,co2,Đất đai,42.32
1,2021,Hải Dương,co2e_20yr,Chất thải,6666.42
1,2021,Hải Dương,co2e_20yr,Công nghiệp,17082.86
1,2021,Hải Dương,co2e_20yr,Giao thông,8473.36
1,2021,Hải Dương,co2e_20yr,Nông nghiệp,14328.38
1,2021,Hải Dương,co2e_20yr,Năng lượng,7134.04
1,2021,Hải Dương,co2e_20yr,Đất đai,42.32
1,2021,Hải Dương,n2o,Chất thải,3.22
1,2021,Hải Dương,n2o,Công nghiệp,134.3
1,2021,Hải Dương,n2o,Giao thông,70.78
1,2021,Hải Dương,n2o,Nông nghiệp,134.07
1,2021,Hải Dương,n2o,Năng lượng,110.17
1,2021,Hải Dương,n2o,Đất đai,0.0
1,2021,Lào Cai,ch4,Chất thải,262.45
1,2021,Lào Cai,ch4,Công nghiệp,2.51
1,2021,Lào Cai,ch4,Giao thông,27.81
1,2021,Lào Cai,ch4,Nông nghiệp,466.54
1,2021,Lào Cai,ch4,Năng lượng,3.36
1,2021,Lào Cai,ch4,Đất đai,0.0
1,2021,Lào Cai,co2,Chất thải,0.58
1,2021,Lào Cai,co2,Công nghiệp,836.14
1,2021,Lào Cai,co2,Giao thông,1862.51
1,2021,Lào Cai,co2,Nông nghiệp,72.87
1,2021,Lào Cai,co2,Năng lượng,821.34
1,2021,Lào Cai,co2,Đất đai,432.08
1,2021,Lào Cai,co2e_20yr,Chất thải,265.64
1,2021,Lào Cai,co2e_20yr,Công nghiệp,1396.49
1,2021,Lào Cai,co2e_20yr,Giao thông,1906.17
1,2021,Lào Cai,co2e_20yr,Nông nghiệp,561.91
1,2021,Lào Cai,co2e_20yr,Năng lượng,838.14
1,2021,Lào Cai,co2e_20yr,Đất đai,432.08
1,2021,Lào Cai,n2o,Chất thải,0.13
1,2021,Lào Cai,n2o,Công nghiệp,2.06
1,2021,Lào Cai,n2o,Giao thông,15.44
1,2021,Lào Cai,n2o,Nông nghiệp,15.51
1,2021,Lào Cai,n2o,Năng lượng,12.94
1,2021,Lào Cai,n2o,Đất đai,0.0
1,2021,Lạng Sơn,ch4,Chất thải,471.73
1,2021,Lạng Sơn,ch4,Công nghiệp,3.12
1,2021,Lạng Sơn,ch4,Giao thông,27.82
1,2021,Lạng Sơn,ch4,Nông nghiệp,1228.27
1,2021,Lạng Sơn,ch4,Năng lượng,4.18
1,2021,Lạng Sơn,ch4,Đất đai,0.0
1,2021,Lạng Sơn,co2,Chất thải,1.05
1,2021,Lạng Sơn,co2,Công nghiệp,1041.29
1,2021,Lạng Sơn,co2,Giao thông,1780.68
1,2021,Lạng Sơn,co2,Nông nghiệp,22.7
1,2021,Lạng Sơn,co2,Năng lượng,1022.86
1,2021,Lạng Sơn,co2,Đất đai,0.02
1,2021,Lạng Sơn,co2e_20yr,Chất thải,477.46
1,2021,Lạng Sơn,co2e_20yr,Công nghiệp,1739.12
1,2021,Lạng Sơn,co2e_20yr,Giao thông,1824.08
1,2021,Lạng Sơn,co2e_20yr,Nông nghiệp,1280.13
1,2021,Lạng Sơn,co2e_20yr,Năng lượng,1043.78
1,2021,Lạng Sơn,co2e_20yr,Đất đai,0.02
1,2021,Lạng Sơn,n2o,Chất thải,0.23
1,2021,Lạng Sơn,n2o,Công nghiệp,2.57
1,2021,Lạng Sơn,n2o,Giao thông,15.16
1,2021,Lạng Sơn,n2o,Nông nghiệp,10.73
1,2021,Lạng Sơn,n2o,Năng lượng,16.12
1,2021,Lạng Sơn,n2o,Đất đai,0.0
1,2021,Minh Tân,ch4,Chất thải,734.06
1,2021,Minh Tân,ch4,Công nghiệp,19.75
1,2021,Minh Tân,ch4,Giao thông,55.57
1,2021,Minh Tân,ch4,Nông nghiệp,4147.17
1,2021,Minh Tân,ch4,Năng lượng,173015.5
1,2021,Minh Tân,ch4,Đất đai,0.0
1,2021,Minh Tân,co2,Chất thải,1.63
1,2021,Minh Tân,co2,Công nghiệp,86661.47
1,2021,Minh Tân,co2,Giao thông,3548.7
1,2021,Minh Tân,co2,Nông nghiệp,132.83
1,2021,Minh Tân,co2,Năng lượng,4310.14
1,2021,Minh Tân,co2,Đất đai,152.67
1,2021,Minh Tân,co2e_20yr,Chất thải,742.98
1,2021,Minh Tân,co2e_20yr,Công nghiệp,87789.42
1,2021,Minh Tân,co2e_20yr,Giao thông,3635.4
1,2021,Minh Tân,co2e_20yr,Nông nghiệp,4441.35
1,2021,Minh Tân,co2e_20yr,Năng lượng,179947.16
1,2021,Minh Tân,co2e_20yr,Đất đai,152.67
1,2021,Minh Tân,n2o,Chất thải,0.36
1,2021,Minh Tân,n2o,Công nghiệp,17.02
1,2021,Minh Tân,n2o,Giao thông,30.29
1,2021,Minh Tân,n2o,Nông nghiệp,99.15
1,2021,Minh Tân,n2o,Năng lượng,25.41
1,2021,Minh Tân,n2o,Đất đai,0.0
1,2021,Nam Định,ch4,Chất thải,20331.56
1,2021,Nam Định,ch4,Công nghiệp,530.95
1,2021,Nam Định,ch4,Giao thông,517.72
1,2021,Nam Định,ch4,Nông nghiệp,151773.06
1,2021,Nam Định,ch4,Năng lượng,75.62
1,2021,Nam Định,ch4,Đất đai,0.0
1,2021,Nam Định,co2,Chất thải,45.17
1,2021,Nam Định,co2,Công nghiệp,36400.65
1,2021,Nam Định,co2,Giao thông,32934.24
1,2021,Nam Định,co2,Nông nghiệp,11476.8
1,2021,Nam Định,co2,Năng lượng,18488.6
1,2021,Nam Định,co2,Đất đai,101.04
1,2021,Nam Định,co2e_20yr,Chất thải,20578.74
1,2021,Nam Định,co2e_20yr,Công nghiệp,49911.14
1,2021,Nam Định,co2e_20yr,Giao thông,33741.89
1,2021,Nam Định,co2e_20yr,Nông nghiệp,170127.29
1,2021,Nam Định,co2e_20yr,Năng lượng,18866.79
1,2021,Nam Định,co2e_20yr,Đất đai,101.04
